date,entity_id,product_id,category,region,store_type,target,price,promotion,holiday,inventory
2024-01-01,STORE_002,PROD_006,Snacks,South,Express,19,13.86,0,1,49
2024-01-01,STORE_002,PROD_007,Pantry,South,Express,20,15.87,0,1,57
2024-01-01,STORE_002,PROD_008,Personal Care,South,Express,31,15.62,1,1,58
2024-01-01,STORE_002,PROD_009,Beverages,South,Express,24,20.66,0,1,72
2024-01-01,STORE_002,PROD_010,Snacks,South,Express,24,22.95,0,1,82
2024-01-01,STORE_002,PROD_011,Pantry,South,Express,17,24.6,0,1,41
2024-01-01,STORE_002,PROD_012,Personal Care,South,Express,21,27.04,0,1,54
2024-01-01,STORE_002,PROD_013,Beverages,South,Express,22,29.92,0,1,60
2024-01-01,STORE_002,PROD_014,Snacks,South,Express,30,31.91,0,1,71
2024-01-01,STORE_002,PROD_015,Pantry,South,Express,28,33.43,0,1,78
2024-01-01,STORE_002,PROD_016,Personal Care,South,Express,19,36.0,0,1,39
2024-01-01,STORE_002,PROD_017,Beverages,South,Express,19,38.63,0,1,50
2024-01-01,STORE_002,PROD_018,Snacks,South,Express,24,40.5,0,1,69
2024-01-01,STORE_002,PROD_019,Pantry,South,Express,32,38.61,1,1,66
2024-01-01,STORE_002,PROD_020,Personal Care,South,Express,56,39.56,1,1,78
2024-01-01,STORE_003,PROD_001,Beverages,East,Flagship,14,2.51,0,1,58
2024-01-01,STORE_003,PROD_002,Snacks,East,Flagship,20,4.75,0,1,54
2024-01-01,STORE_003,PROD_003,Pantry,East,Flagship,37,6.24,1,1,65
2024-01-01,STORE_003,PROD_004,Personal Care,East,Flagship,25,9.11,0,1,63
2024-01-01,STORE_003,PROD_005,Beverages,East,Flagship,35,11.57,0,1,86
2024-01-01,STORE_003,PROD_006,Snacks,East,Flagship,16,13.98,0,1,57
2024-01-01,STORE_003,PROD_007,Pantry,East,Flagship,40,14.04,1,1,55
2024-01-01,STORE_003,PROD_008,Personal Care,East,Flagship,27,18.12,0,1,71
2024-01-01,STORE_003,PROD_009,Beverages,East,Flagship,26,20.51,0,1,80
2024-01-01,STORE_003,PROD_010,Snacks,East,Flagship,25,22.34,0,1,86
2024-01-01,STORE_003,PROD_011,Pantry,East,Flagship,22,25.39,0,1,58
2024-01-01,STORE_003,PROD_012,Personal Care,East,Flagship,25,27.27,0,1,66
2024-01-01,STORE_003,PROD_013,Beverages,East,Flagship,27,29.69,0,1,72
2024-01-01,STORE_003,PROD_014,Snacks,East,Flagship,23,31.45,0,1,62
2024-01-01,STORE_003,PROD_015,Pantry,East,Flagship,36,33.49,0,1,85
2024-01-01,STORE_003,PROD_016,Personal Care,East,Flagship,16,36.39,0,1,45
2024-01-01,STORE_003,PROD_017,Beverages,East,Flagship,20,38.93,0,1,58
2024-01-01,STORE_003,PROD_018,Snacks,East,Flagship,29,39.96,0,1,65
2024-01-01,STORE_003,PROD_019,Pantry,East,Flagship,20,43.31,0,1,66
2024-01-01,STORE_003,PROD_020,Personal Care,East,Flagship,26,45.4,0,1,78
2024-01-01,STORE_004,PROD_001,Beverages,West,Supermarket,17,2.52,0,1,61
2024-01-01,STORE_004,PROD_002,Snacks,West,Supermarket,21,4.83,0,1,54
2024-01-01,STORE_004,PROD_003,Pantry,West,Supermarket,27,7.0,0,1,65
2024-01-01,STORE_004,PROD_004,Personal Care,West,Supermarket,27,9.41,0,1,85
2024-01-01,STORE_004,PROD_005,Beverages,West,Supermarket,27,11.56,0,1,86
2024-01-01,STORE_004,PROD_006,Snacks,West,Supermarket,24,14.01,0,1,47
2024-01-01,STORE_004,PROD_007,Pantry,West,Supermarket,19,16.19,0,1,64
2024-01-01,STORE_004,PROD_008,Personal Care,West,Supermarket,36,15.61,1,1,74
2024-01-01,STORE_004,PROD_009,Beverages,West,Supermarket,28,20.28,0,1,81
2024-01-01,STORE_004,PROD_010,Snacks,West,Supermarket,29,22.84,0,1,84
2024-01-01,STORE_004,PROD_011,Pantry,West,Supermarket,20,24.93,0,1,64
2024-01-01,STORE_004,PROD_012,Personal Care,West,Supermarket,19,26.98,0,1,69
2024-01-01,STORE_004,PROD_013,Beverages,West,Supermarket,34,29.87,0,1,76
2024-01-01,STORE_004,PROD_014,Snacks,West,Supermarket,34,31.3,0,1,67
2024-01-01,STORE_004,PROD_015,Pantry,West,Supermarket,34,33.52,0,1,83
2024-01-01,STORE_004,PROD_016,Personal Care,West,Supermarket,17,35.75,0,1,48
2024-01-01,STORE_004,PROD_017,Beverages,West,Supermarket,36,32.83,1,1,68
2024-01-01,STORE_004,PROD_018,Snacks,West,Supermarket,26,41.04,0,1,60
2024-01-01,STORE_004,PROD_019,Pantry,West,Supermarket,28,43.01,0,1,81
2024-01-01,STORE_004,PROD_020,Personal Care,West,Supermarket,63,38.87,1,1,89
2024-01-01,STORE_005,PROD_001,Beverages,North,Express,22,2.51,0,1,53
2024-01-01,STORE_005,PROD_002,Snacks,North,Express,21,4.75,0,1,55
2024-01-01,STORE_005,PROD_003,Pantry,North,Express,29,6.87,0,1,75
2024-01-01,STORE_005,PROD_004,Personal Care,North,Express,25,9.4,0,1,71
2024-01-01,STORE_005,PROD_005,Beverages,North,Express,32,11.63,0,1,89
2024-01-01,STORE_005,PROD_006,Snacks,North,Express,22,13.77,0,1,63
2024-01-01,STORE_005,PROD_007,Pantry,North,Express,23,15.98,0,1,68
2024-01-01,STORE_005,PROD_008,Personal Care,North,Express,22,17.99,0,1,74
2024-01-01,STORE_005,PROD_009,Beverages,North,Express,25,20.28,0,1,80
2024-01-01,STORE_005,PROD_010,Snacks,North,Express,29,22.64,0,1,84
2024-01-01,STORE_005,PROD_011,Pantry,North,Express,22,25.45,0,1,65
2024-01-01,STORE_005,PROD_012,Personal Care,North,Express,29,27.29,0,1,64
2024-01-01,STORE_005,PROD_013,Beverages,North,Express,26,29.86,0,1,77
2024-01-01,STORE_005,PROD_014,Snacks,North,Express,25,32.05,0,1,82
2024-01-01,STORE_005,PROD_015,Pantry,North,Express,32,34.49,0,1,96
2024-01-01,STORE_005,PROD_016,Personal Care,North,Express,34,32.13,1,1,60
2024-01-01,STORE_005,PROD_017,Beverages,North,Express,21,37.94,0,1,58
2024-01-01,STORE_005,PROD_018,Snacks,North,Express,24,41.21,0,1,78
2024-01-01,STORE_005,PROD_019,Pantry,North,Express,26,42.58,0,1,71
2024-01-01,STORE_005,PROD_020,Personal Care,North,Express,38,44.66,0,1,78
2024-01-01,STORE_006,PROD_001,Beverages,South,Flagship,23,2.5,0,1,65
2024-01-01,STORE_006,PROD_002,Snacks,South,Flagship,19,4.75,0,1,74
2024-01-01,STORE_006,PROD_003,Pantry,South,Flagship,23,6.89,0,1,80
2024-01-01,STORE_006,PROD_004,Personal Care,South,Flagship,29,9.22,0,1,75
2024-01-01,STORE_006,PROD_005,Beverages,South,Flagship,36,11.42,0,1,97
2024-01-01,STORE_006,PROD_006,Snacks,South,Flagship,22,13.68,0,1,66
2024-01-01,STORE_006,PROD_007,Pantry,South,Flagship,29,15.77,0,1,70
2024-01-01,STORE_006,PROD_008,Personal Care,South,Flagship,26,18.42,0,1,74
2024-01-01,STORE_006,PROD_009,Beverages,South,Flagship,34,20.73,0,1,76
2024-01-01,STORE_006,PROD_010,Snacks,South,Flagship,38,22.95,0,1,88
2024-01-01,STORE_006,PROD_011,Pantry,South,Flagship,22,25.35,0,1,53
2024-01-01,STORE_006,PROD_012,Personal Care,South,Flagship,26,27.45,0,1,61
2024-01-01,STORE_006,PROD_013,Beverages,South,Flagship,24,29.88,0,1,85
2024-01-01,STORE_006,PROD_014,Snacks,South,Flagship,34,31.5,0,1,83
2024-01-01,STORE_006,PROD_015,Pantry,South,Flagship,25,33.47,0,1,81
2024-01-01,STORE_006,PROD_016,Personal Care,South,Flagship,24,36.74,0,1,68
2024-01-01,STORE_006,PROD_017,Beverages,South,Flagship,26,38.76,0,1,71
2024-01-01,STORE_006,PROD_018,Snacks,South,Flagship,26,39.98,0,1,67
2024-01-01,STORE_006,PROD_019,Pantry,South,Flagship,34,43.48,0,1,74
2024-01-01,STORE_006,PROD_020,Personal Care,South,Flagship,34,44.41,0,1,99
2024-01-01,STORE_007,PROD_001,Beverages,East,Supermarket,30,2.2,1,1,73
2024-01-01,STORE_007,PROD_002,Snacks,East,Supermarket,30,4.67,0,1,66
2024-01-01,STORE_007,PROD_003,Pantry,East,Supermarket,33,7.08,0,1,86
2024-01-01,STORE_007,PROD_004,Personal Care,East,Supermarket,58,7.96,1,1,94
2024-01-01,STORE_007,PROD_005,Beverages,East,Supermarket,33,11.66,0,1,102
2024-01-01,STORE_007,PROD_006,Snacks,East,Supermarket,26,13.62,0,1,68
2024-01-01,STORE_007,PROD_007,Pantry,East,Supermarket,28,16.07,0,1,63
2024-01-01,STORE_007,PROD_008,Personal Care,East,Supermarket,35,16.32,1,1,82
2024-01-01,STORE_007,PROD_009,Beverages,East,Supermarket,31,20.17,0,1,85
2024-01-01,STORE_007,PROD_010,Snacks,East,Supermarket,35,23.01,0,1,105
2024-01-01,STORE_007,PROD_011,Pantry,East,Supermarket,28,24.65,0,1,64
2024-01-01,STORE_007,PROD_012,Personal Care,East,Supermarket,25,27.47,0,1,68
2024-01-01,STORE_007,PROD_013,Beverages,East,Supermarket,30,29.09,0,1,83
2024-01-01,STORE_007,PROD_014,Snacks,East,Supermarket,34,31.27,0,1,86
2024-01-01,STORE_007,PROD_015,Pantry,East,Supermarket,33,33.73,0,1,101
2024-01-01,STORE_007,PROD_016,Personal Care,East,Supermarket,21,36.12,0,1,66
2024-01-01,STORE_007,PROD_017,Beverages,East,Supermarket,23,38.64,0,1,80
2024-01-01,STORE_007,PROD_018,Snacks,East,Supermarket,34,40.71,0,1,70
2024-01-01,STORE_007,PROD_019,Pantry,East,Supermarket,31,43.11,0,1,88
2024-01-01,STORE_007,PROD_020,Personal Care,East,Supermarket,35,44.92,0,1,98
2024-01-01,STORE_008,PROD_001,Beverages,West,Express,25,2.49,0,1,67
2024-01-01,STORE_008,PROD_002,Snacks,West,Express,28,4.79,0,1,72
2024-01-01,STORE_008,PROD_003,Pantry,West,Express,31,7.0,0,1,79
2024-01-01,STORE_008,PROD_004,Personal Care,West,Express,37,9.37,0,1,97
2024-01-01,STORE_008,PROD_005,Beverages,West,Express,37,11.3,0,1,101
2024-01-01,STORE_008,PROD_006,Snacks,West,Express,19,13.65,0,1,63
2024-01-01,STORE_008,PROD_007,Pantry,West,Express,34,14.26,1,1,73
2024-01-01,STORE_008,PROD_008,Personal Care,West,Express,26,18.32,0,1,81
2024-01-01,STORE_008,PROD_009,Beverages,West,Express,44,20.88,0,1,90
2024-01-01,STORE_008,PROD_010,Snacks,West,Express,31,22.92,0,1,105
